Blue.count,red.count,Blue.percentage,red.percentage,total.clusters,average.clusters,area,circularity,Count_Nuclei,AngularSecondMoment,Contrast,Correlation,Entropy,Gabor,SumVariance,Variance,class
16611,52475,1.584148407,5.004405975,123,0.112844037,81.25203252,0.081105888,167,0.477033444,1.188465085,0.614999299,1.535426598,0.084337661,4.985358806,1.545288008,0
93148,282307,8.883285522,26.92289352,143,0.131192661,69.67132867,0.119116834,72,0.247075766,0.413731559,0.96617316,1.794227381,0.059913129,24.04767372,6.115417033,0
107853,198888,10.2856636,18.96743774,166,0.152293578,75.36144578,0.094944226,191,0.307340155,0.927150924,0.924871922,1.817512024,0.142948746,23.75472367,6.170839789,0
58609,208594,5.589389801,19.89307404,153,0.140366972,68.39869281,0.134178497,69,0.225479996,0.789810465,0.926025024,1.997441315,0.054065669,20.56209197,5.34103155,0
13419,56428,1.279735565,5.381393433,81,0.074311927,82.67901235,0.096306609,250,0.509707776,1.035507277,0.586834895,1.437309058,0.193758973,3.977051466,1.252694071,0
17396,34399,1.659011841,3.280544281,170,0.155963303,63.78235294,0.109151772,176,0.690618075,0.954941349,0.695378467,1.003648013,0.114033988,5.314740732,1.566088773,2
8355,24670,0.796794891,2.352714539,14,0.012844037,73.07142857,0.14072506,8,0.856847447,0.061390487,0.97727746,0.412565169,0.018433984,5.342097608,1.350872024,0
17559,132967,1.674556732,12.68072128,135,0.123853211,71.56296296,0.094996694,289,0.142879159,1.04838432,0.788733388,2.611675473,0.073266848,8.87622811,2.486261681,2
77898,126432,7.42893219,12.05749512,590,0.541284404,83.30677966,0.099899503,375,0.10555883,1.800267622,0.631882166,2.93351774,0.090237513,7.980662224,2.444669874,2
28701,67696,2.737140656,6.455993652,239,0.219266055,76.60251046,0.087338416,308,0.120689665,1.570603269,0.606105409,2.758124124,0.120794172,6.404133015,1.994079709,2
24109,77490,2.299213409,7.390022278,130,0.119266055,68.60769231,0.08704815,303,0.11126673,1.727045521,0.533903056,2.770401537,0.182936177,5.683597812,1.849980332,2
71945,157109,6.861209869,14.98308182,426,0.390825688,64.32159624,0.172054886,312,0.044789136,2.505294097,0.461944011,3.349151312,0.246482744,6.807079808,2.3271659,2
110154,173076,10.50510406,16.5058136,1489,1.366055046,49.79516454,0.088855688,264,0.029394357,3.557172426,0.476669131,3.749474353,0.159020982,10.03717781,3.397943554,2
42100,113908,4.014968872,10.8631134,167,0.153211009,61.33532934,0.135185902,314,0.063768611,2.51297843,0.218390763,3.047544077,0.2450429,3.917288998,1.60832547,2
60773,153498,5.795764923,14.63871002,345,0.316513761,62.8057971,0.142742978,255,0.042062889,2.690471772,0.418708927,3.422809482,0.200350109,6.566406297,2.315016298,2
60515,92209,5.771160126,8.793735504,407,0.373394495,82.3955774,0.138099448,227,0.235093178,1.515390663,0.698919215,2.486978591,0.176281877,8.550946973,2.516640978,2
32088,113635,3.060150146,10.83707809,214,0.196330275,76.3364486,0.089539847,183,0.297235327,1.51205543,0.844738639,1.885426226,0.06802373,17.96470617,4.865751197,0
85382,155826,8.142662048,14.8607254,618,0.566972477,65.71035599,0.155170024,280,0.038839557,3.269182136,0.400242389,3.515557839,0.214541133,7.632495153,2.725642913,2
47611,135819,4.540538788,12.9527092,295,0.270642202,59.50847458,0.126362711,275,0.061280796,1.90541117,0.405300142,3.087157489,0.187644399,4.502563552,1.602363463,2
29343,57458,2.798366547,5.479621887,50,0.04587156,76.2,0.132796766,69,0.467749094,0.522413114,0.894568208,1.623891041,0.037095547,9.386093384,2.483108907,2
47507,102481,4.530620575,9.773349762,261,0.239449541,66.55938697,0.172141835,134,0.191764424,1.333367448,0.70746125,2.585185276,0.138780326,7.782311906,2.279509301,2
72013,196547,6.867694855,18.74418259,292,0.267889908,75.93835616,0.099475439,103,0.174081346,0.461046538,0.943002865,2.285172731,0.060555078,15.71683599,4.044977406,0
